Sequence Type,NG-STAR_CC
2637,309
2638,Ungroupable
2639,217
2640,1096
2641,2028
2642,3184
2643,1115
2644,307
2645,3087
2646,247
2647,1900
2648,247
2649,625
2650,2976
2651,426
2652,1021
2653,442
2654,124
2655,182
2656,426
2657,442
2658,307
2659,247
2660,3184
2661,269
2662,2454
2663,90
2664,1645
2665,1543
2666,1054
2667,1054
2668,559
2669,1054
2670,2209
2671,Ungroupable
2672,23
2673,352
2674,468
2675,42
2676,348
2677,348
2678,348
2679,348
2680,267
2681,90
2682,90
2683,1229
2684,319
2685,348
2686,127
2687,90
2688,199
2689,90
2690,127
2691,348
2692,127
2693,1236
2694,127
2695,124
2696,124
2697,319
2698,90
2699,891
2700,127
2701,2703
2702,2703
2703,409
2704,754
2705,1885
2706,63
2707,63
2708,1387
2709,1387
2710,Ungroupable
2711,Ungroupable
2712,422
2713,Ungroupable
2714,73
2715,168
2716,Ungroupable
2717,958
2718,1883
2719,433
2720,2720
2721,958
2722,2167
2723,559
2724,1958
2725,Ungroupable
2726,1771
2727,1387
2728,Ungroupable
2729,1885
2730,199
2731,63
2732,1387
2733,1353
2734,1997
2735,38
2736,Ungroupable
2737,199
2738,2288
2739,2467
2740,501
2741,158
2742,348
2743,2753
2744,73
2745,501
2746,2473
2747,73
2748,Ungroupable
2749,73
2750,73
2751,26
2752,38
2753,199
2754,199
2755,2351
2756,1118
2757,Ungroupable
2758,1142
2759,200
2760,Ungroupable
2761,38
2762,2351
2763,2351
2764,345
2765,90
2766,199
2767,2467
2768,2433
2769,199
2770,2457
2771,199
2772,38
2773,1656
2774,1216
2775,73
2776,158
2777,2778
2778,127
2779,37
2780,345
2781,Ungroupable
2782,1771
2783,2275
2784,514
2785,90
2786,2436
2787,199
